year,region,indicator,value
2019,Брестская область,Average_Employee_Count,464424.0
2020,Брестская область,Average_Employee_Count,452926.0
2021,Брестская область,Average_Employee_Count,445934.0
2022,Брестская область,Average_Employee_Count,439738.0
2023,Брестская область,Average_Employee_Count,436925.0
2019,Витебская область,Average_Employee_Count,396132.0
2020,Витебская область,Average_Employee_Count,382740.0
2021,Витебская область,Average_Employee_Count,376040.0
2022,Витебская область,Average_Employee_Count,370174.0
2023,Витебская область,Average_Employee_Count,365185.0
2019,Гомельская область,Average_Employee_Count,476341.0
2020,Гомельская область,Average_Employee_Count,463807.0
2021,Гомельская область,Average_Employee_Count,458411.0
2022,Гомельская область,Average_Employee_Count,452938.0
2023,Гомельская область,Average_Employee_Count,446575.0
2019,Гродненская область,Average_Employee_Count,375717.0
2020,Гродненская область,Average_Employee_Count,365167.0
2021,Гродненская область,Average_Employee_Count,359574.0
2022,Гродненская область,Average_Employee_Count,352317.0
2023,Гродненская область,Average_Employee_Count,347913.0
2019,Минская область,Average_Employee_Count,563519.0
2020,Минская область,Average_Employee_Count,550027.0
2021,Минская область,Average_Employee_Count,543469.0
2022,Минская область,Average_Employee_Count,537563.0
2023,Минская область,Average_Employee_Count,538432.0
2019,Могилевская область,Average_Employee_Count,356994.0
2020,Могилевская область,Average_Employee_Count,346367.0
2021,Могилевская область,Average_Employee_Count,339903.0
2022,Могилевская область,Average_Employee_Count,334650.0
2023,Могилевская область,Average_Employee_Count,328750.0
2019,Республика Беларусь,Average_Employee_Count,3511180.0
2020,Республика Беларусь,Average_Employee_Count,3416971.0
2021,Республика Беларусь,Average_Employee_Count,3371002.0
2022,Республика Беларусь,Average_Employee_Count,3315064.0
2023,Республика Беларусь,Average_Employee_Count,3283845.0
2019,г. Минск,Average_Employee_Count,878053.0
2020,г. Минск,Average_Employee_Count,855937.0
2021,г. Минск,Average_Employee_Count,847671.0
2022,г. Минск,Average_Employee_Count,827684.0
2023,г. Минск,Average_Employee_Count,820065.0
2019,Брестская область,Employed_Count,586.4
2020,Брестская область,Employed_Count,585.2
2021,Брестская область,Employed_Count,580.2
2022,Брестская область,Employed_Count,574.9
2023,Брестская область,Employed_Count,566.7
2019,Витебская область,Employed_Count,485.4
2020,Витебская область,Employed_Count,481.1
2021,Витебская область,Employed_Count,474.4
2022,Витебская область,Employed_Count,466.2
2023,Витебская область,Employed_Count,457.6
2019,Гомельская область,Employed_Count,584.9
2020,Гомельская область,Employed_Count,584.3
2021,Гомельская область,Employed_Count,579.7
2022,Гомельская область,Employed_Count,572.3
2023,Гомельская область,Employed_Count,561.9
2019,Гродненская область,Employed_Count,458.3
2020,Гродненская область,Employed_Count,457.8
2021,Гродненская область,Employed_Count,454.3
2022,Гродненская область,Employed_Count,446.7
2023,Гродненская область,Employed_Count,439.5
2019,Минская область,Employed_Count,685.2
2020,Минская область,Employed_Count,684.9
2021,Минская область,Employed_Count,684.2
2022,Минская область,Employed_Count,678.9
2023,Минская область,Employed_Count,671.2
2019,Могилевская область,Employed_Count,446.3
2020,Могилевская область,Employed_Count,443.0
2021,Могилевская область,Employed_Count,437.7
2022,Могилевская область,Employed_Count,430.6
2023,Могилевская область,Employed_Count,423.1
2019,Республика Беларусь,Employed_Count,4334.2
2020,Республика Беларусь,Employed_Count,4319.6
2021,Республика Беларусь,Employed_Count,4284.5
2022,Республика Беларусь,Employed_Count,4214.3
2023,Республика Беларусь,Employed_Count,4154.5
2019,г. Минск,Employed_Count,1087.7
2020,г. Минск,Employed_Count,1083.3
2021,г. Минск,Employed_Count,1074.0
2022,г. Минск,Employed_Count,1044.7
2023,г. Минск,Employed_Count,1034.5
2019,Брестская область,Fired_Count,117751.0
2020,Брестская область,Fired_Count,115904.0
2021,Брестская область,Fired_Count,119097.0
2022,Брестская область,Fired_Count,114693.0
2023,Брестская область,Fired_Count,115975.0
2019,Витебская область,Fired_Count,106246.0
2020,Витебская область,Fired_Count,100088.0
