Удельный вес трудовых ресурсов в общей численности населения по территории Республики Беларусь
процентов
Территория Республики Беларусь;Тип местности;2019;2020;2021;2022;2023
Республика Беларусь;Всего по типам местности;60,5;60,6;60,8;61,0;61,0
Республика Беларусь;    городская местность;64,2;64,1;64,3;64,4;64,4
Республика Беларусь;    сельская местность;47,9;48,4;48,5;49,0;48,7
    Брестская область;Всего по типам местности;58,3;58,3;58,4;58,8;58,7
    Брестская область;    городская местность;62,2;61,9;62,1;62,3;62,1
    Брестская область;    сельская местность;48,9;49,4;49,5;49,9;49,8
    Витебская область;Всего по типам местности;58,5;58,6;58,8;59,2;59,2
    Витебская область;    городская местность;62,1;61,7;61,9;62,3;62,2
    Витебская область;    сельская местность;46,6;47,8;47,9;48,2;47,9
    Гомельская область;Всего по типам местности;57,1;57,3;57,6;58,0;57,9
    Гомельская область;    городская местность;60,1;60,3;60,7;61,1;60,9
    Гомельская область;    сельская местность;47,1;47,5;47,0;47,2;47,2
    Гродненская область;Всего по типам местности;58,1;58,4;58,7;59,0;59,1
    Гродненская область;    городская местность;62,4;62,1;62,5;62,6;62,7
    Гродненская область;    сельская местность;45,3;46,7;46,6;47,4;47,1
    г. Минск;Всего по типам местности;69,9;70,0;70,0;69,9;69,8
    г. Минск;    городская местность;69,9;70,0;70,0;69,9;69,8
    Минская область;Всего по типам местности;57,6;57,6;57,7;58,0;57,9
    Минская область;    городская местность;64,1;64,2;64,1;64,1;64,1
    Минская область;    сельская местность;49,6;49,6;49,9;50,5;50,4
    Могилевская область;Всего по типам местности;58,3;58,4;58,6;59,1;58,9
    Могилевская область;    городская местность;61,5;61,4;61,6;61,9;62,0
    Могилевская область;    сельская местность;46,3;46,9;46,9;47,4;46,1
