Численность безработных, зарегистрированных в органах по труду, занятости и социальной защите на конец периода по территории Республики Беларусь
чел.
Территория Республики Беларусь;Продолжительность безработицы;2019;2020;2021;2022;2023
Республика Беларусь;Всего зарегистрированной безработицы по продолжительности;8808;7226;5339;4601;3282
Республика Беларусь;    до 1 месяца;3141;2477;2149;1728;1252
Республика Беларусь;    от 1 до 3 месяцев;3298;2664;2022;1757;1291
Республика Беларусь;    от 3 до 6 месяцев;1326;1188;685;644;464
Республика Беларусь;    от 6 месяцев до 1 года;911;816;439;426;241
Республика Беларусь;    более 1 года;132;81;44;46;34
    Брестская область;Всего зарегистрированной безработицы по продолжительности;1421;1188;952;840;758
    Брестская область;    до 1 месяца;385;309;367;314;308
    Брестская область;    от 1 до 3 месяцев;532;419;340;277;266
    Брестская область;    от 3 до 6 месяцев;227;221;128;128;102
    Брестская область;    от 6 месяцев до 1 года;221;212;103;107;67
    Брестская область;    более 1 года;56;27;14;14;15
    Витебская область;Всего зарегистрированной безработицы по продолжительности;1506;1334;1067;798;518
    Витебская область;    до 1 месяца;462;477;436;298;210
    Витебская область;    от 1 до 3 месяцев;551;454;385;276;183
    Витебская область;    от 3 до 6 месяцев;243;187;113;94;62
    Витебская область;    от 6 месяцев до 1 года;201;180;118;116;55
    Витебская область;    более 1 года;49;36;15;14;8
    Гомельская область;Всего зарегистрированной безработицы по продолжительности;1214;941;581;487;309
    Гомельская область;    до 1 месяца;483;382;219;203;100
    Гомельская область;    от 1 до 3 месяцев;454;303;235;189;122
    Гомельская область;    от 3 до 6 месяцев;171;165;86;56;61
    Гомельская область;    от 6 месяцев до 1 года;101;87;40;39;23
    Гомельская область;    более 1 года;5;4;1;null;3
    Гродненская область;Всего зарегистрированной безработицы по продолжительности;1354;1067;887;742;589
    Гродненская область;    до 1 месяца;530;405;430;293;244
    Гродненская область;    от 1 до 3 месяцев;506;399;324;318;258
    Гродненская область;    от 3 до 6 месяцев;193;165;94;102;70
    Гродненская область;    от 6 месяцев до 1 года;123;98;38;29;17
    Гродненская область;    более 1 года;2;0;1;null;0
    г. Минск;Всего зарегистрированной безработицы по продолжительности;874;722;547;465;262
    г. Минск;    до 1 месяца;314;250;176;133;78
    г. Минск;    от 1 до 3 месяцев;337;243;217;215;120
    г. Минск;    от 3 до 6 месяцев;147;139;89;67;45
    г. Минск;    от 6 месяцев до 1 года;73;80;53;40;15
    г. Минск;    более 1 года;3;10;12;10;4
    Минская область;Всего зарегистрированной безработицы по продолжительности;1096;797;509;444;231
    Минская область;    до 1 месяца;447;282;217;160;91
    Минская область;    от 1 до 3 месяцев;408;360;187;167;99
    Минская область;    от 3 до 6 месяцев;161;102;78;84;34
    Минская область;    от 6 месяцев до 1 года;74;52;27;32;7
    Минская область;    более 1 года;6;1;0;1;0
    Могилевская область;Всего зарегистрированной безработицы по продолжительности;1343;1177;796;825;615
    Могилевская область;    до 1 месяца;520;372;304;327;221
    Могилевская область;    от 1 до 3 месяцев;510;486;334;315;243
    Могилевская область;    от 3 до 6 месяцев;184;209;97;113;90
    Могилевская область;    от 6 месяцев до 1 года;118;107;60;63;57
    Могилевская область;    более 1 года;11;3;1;7;4
