Численность занятого населения в среднем за период по территории Республики Беларусь
тыс. чел.
Территория Республики Беларусь;Пол;2019;2020;2021;2022;2023
Республика Беларусь;Оба пола;4334,2;4319,6;4284,5;4214,3;4154,5
Республика Беларусь;    мужчины;2232,1;2230,7;2159,8;2139,8;2099,9
Республика Беларусь;    женщины;2102,1;2088,9;2124,7;2074,5;2054,6
    Брестская область;Оба пола;586,4;585,2;580,2;574,9;566,7
    Брестская область;    мужчины;305,5;309,6;290,7;287,4;282,2
    Брестская область;    женщины;280,9;275,6;289,5;287,4;284,5
    Витебская область;Оба пола;485,4;481,1;474,4;466,2;457,6
    Витебская область;    мужчины;246,6;244,4;234,8;234,5;226,1
    Витебская область;    женщины;238,8;236,7;239,6;231,7;231,5
    Гомельская область;Оба пола;584,9;584,3;579,7;572,3;561,9
    Гомельская область;    мужчины;301,2;306,2;291,6;289,6;279,3
    Гомельская область;    женщины;283,7;278,1;288,1;282,7;282,6
    Гродненская область;Оба пола;458,3;457,8;454,3;446,7;439,5
    Гродненская область;    мужчины;231,9;235,8;229,0;229,6;220,6
    Гродненская область;    женщины;226,4;222,0;225,3;217,1;218,9
    г. Минск;Оба пола;1087,7;1083,3;1074,0;1044,7;1034,5
    г. Минск;    мужчины;542,8;536,2;533,8;521,3;526,6
    г. Минск;    женщины;544,9;547,1;540,2;523,4;507,9
    Минская область;Оба пола;685,2;684,9;684,2;678,9;671,2
    Минская область;    мужчины;368,0;366,4;357,1;356,5;351,0
    Минская область;    женщины;317,2;318,5;327,1;322,5;320,2
    Могилевская область;Оба пола;446,3;443,0;437,7;430,6;423,1
    Могилевская область;    мужчины;234,3;232,1;222,8;220,9;214,1
    Могилевская область;    женщины;212,0;210,9;214,9;209,7;209,0
