user	dir	list	create	delete_probe
iit11	pzs11	ДА	ДА	ДА
iit11	pzs12	ДА	ДА	ДА
iit11	pzs13	ДА	ДА	ДА
iit11	pzs14	ДА	ДА	ДА
iit11	pzs15	НЕТ	НЕТ	НЕТ
iit12	pzs11	НЕТ	НЕТ	НЕТ
iit12	pzs12	ДА	ДА	ДА
iit12	pzs13	ДА	ДА	ДА
iit12	pzs14	ДА	ДА	ДА
iit12	pzs15	НЕТ	НЕТ	НЕТ
iit21	pzs11	НЕТ	НЕТ	НЕТ
iit21	pzs12	НЕТ	НЕТ	НЕТ
iit21	pzs13	ДА	ДА	ДА
iit21	pzs14	ДА	ДА	ДА
iit21	pzs15	НЕТ	НЕТ	НЕТ
iit22	pzs11	НЕТ	НЕТ	НЕТ
iit22	pzs12	НЕТ	НЕТ	НЕТ
iit22	pzs13	ДА	ДА	ДА
iit22	pzs14	ДА	ДА	ДА
iit22	pzs15	НЕТ	НЕТ	НЕТ
iit3	pzs11	НЕТ	НЕТ	НЕТ
iit3	pzs12	НЕТ	НЕТ	НЕТ
iit3	pzs13	ДА	ДА	ДА
iit3	pzs14	ДА	ДА	ДА
iit3	pzs15	НЕТ	НЕТ	НЕТ
root	pzs11	ДА	ДА	ДА
root	pzs12	ДА	ДА	ДА
root	pzs13	ДА	ДА	ДА
root	pzs14	ДА	ДА	ДА
root	pzs15	ДА	ДА	ДА
