user	dir	file	read	write	execute
iit11	pzs11	file11	ДА	НЕТ	НЕТ
iit11	pzs11	file12	ДА	ДА	НЕТ
iit11	pzs11	file13	НЕТ	ДА	НЕТ
iit11	pzs11	file14	ДА	ДА	ДА
iit11	pzs11	file15	НЕТ	НЕТ	ДА
iit11	pzs11	file21	НЕТ	НЕТ	НЕТ
iit11	pzs11	file22	НЕТ	НЕТ	НЕТ
iit11	pzs11	file23	НЕТ	НЕТ	НЕТ
iit11	pzs11	file24	НЕТ	НЕТ	НЕТ
iit11	pzs11	file25	НЕТ	НЕТ	НЕТ
iit11	pzs11	file31	НЕТ	НЕТ	НЕТ
iit11	pzs11	file32	НЕТ	НЕТ	НЕТ
iit11	pzs11	file33	НЕТ	НЕТ	НЕТ
iit11	pzs11	file34	НЕТ	НЕТ	НЕТ
iit11	pzs11	file35	НЕТ	НЕТ	НЕТ
iit11	pzs11	file41	ДА	НЕТ	НЕТ
iit11	pzs11	file42	ДА	ДА	НЕТ
iit11	pzs11	file43	НЕТ	ДА	НЕТ
iit11	pzs11	file44	ДА	ДА	ДА
iit11	pzs11	file45	НЕТ	НЕТ	ДА
iit11	pzs11	file51	НЕТ	НЕТ	НЕТ
iit11	pzs11	file52	НЕТ	НЕТ	НЕТ
iit11	pzs11	file53	НЕТ	НЕТ	НЕТ
iit11	pzs11	file54	НЕТ	НЕТ	НЕТ
iit11	pzs11	file55	НЕТ	НЕТ	НЕТ
iit11	pzs12	file11	ДА	НЕТ	НЕТ
iit11	pzs12	file12	ДА	ДА	НЕТ
iit11	pzs12	file13	НЕТ	ДА	НЕТ
iit11	pzs12	file14	ДА	ДА	ДА
iit11	pzs12	file15	НЕТ	НЕТ	ДА
iit11	pzs12	file21	НЕТ	НЕТ	НЕТ
iit11	pzs12	file22	НЕТ	НЕТ	НЕТ
iit11	pzs12	file23	НЕТ	НЕТ	НЕТ
iit11	pzs12	file24	НЕТ	НЕТ	НЕТ
iit11	pzs12	file25	НЕТ	НЕТ	НЕТ
iit11	pzs12	file31	НЕТ	НЕТ	НЕТ
iit11	pzs12	file32	НЕТ	НЕТ	НЕТ
iit11	pzs12	file33	НЕТ	НЕТ	НЕТ
iit11	pzs12	file34	НЕТ	НЕТ	НЕТ
iit11	pzs12	file35	НЕТ	НЕТ	НЕТ
iit11	pzs12	file41	ДА	НЕТ	НЕТ
iit11	pzs12	file42	ДА	ДА	НЕТ
iit11	pzs12	file43	НЕТ	ДА	НЕТ
iit11	pzs12	file44	ДА	ДА	ДА
iit11	pzs12	file45	НЕТ	НЕТ	ДА
iit11	pzs12	file51	НЕТ	НЕТ	НЕТ
iit11	pzs12	file52	НЕТ	НЕТ	НЕТ
iit11	pzs12	file53	НЕТ	НЕТ	НЕТ
iit11	pzs12	file54	НЕТ	НЕТ	НЕТ
iit11	pzs12	file55	НЕТ	НЕТ	НЕТ
iit11	pzs13	file11	ДА	НЕТ	НЕТ
iit11	pzs13	file12	ДА	ДА	НЕТ
iit11	pzs13	file13	НЕТ	ДА	НЕТ
iit11	pzs13	file14	ДА	ДА	ДА
iit11	pzs13	file15	НЕТ	НЕТ	ДА
iit11	pzs13	file21	НЕТ	НЕТ	НЕТ
iit11	pzs13	file22	НЕТ	НЕТ	НЕТ
iit11	pzs13	file23	НЕТ	НЕТ	НЕТ
iit11	pzs13	file24	НЕТ	НЕТ	НЕТ
iit11	pzs13	file25	НЕТ	НЕТ	НЕТ
iit11	pzs13	file31	НЕТ	НЕТ	НЕТ
iit11	pzs13	file32	НЕТ	НЕТ	НЕТ
iit11	pzs13	file33	НЕТ	НЕТ	НЕТ
iit11	pzs13	file34	НЕТ	НЕТ	НЕТ
iit11	pzs13	file35	НЕТ	НЕТ	НЕТ
iit11	pzs13	file41	ДА	НЕТ	НЕТ
iit11	pzs13	file42	ДА	ДА	НЕТ
iit11	pzs13	file43	НЕТ	ДА	НЕТ
iit11	pzs13	file44	ДА	ДА	ДА
iit11	pzs13	file45	НЕТ	НЕТ	ДА
iit11	pzs13	file51	НЕТ	НЕТ	НЕТ
iit11	pzs13	file52	НЕТ	НЕТ	НЕТ
iit11	pzs13	file53	НЕТ	НЕТ	НЕТ
iit11	pzs13	file54	НЕТ	НЕТ	НЕТ
iit11	pzs13	file55	НЕТ	НЕТ	НЕТ
iit11	pzs14	file11	ДА	НЕТ	НЕТ
iit11	pzs14	file12	ДА	ДА	НЕТ
iit11	pzs14	file13	НЕТ	ДА	НЕТ
iit11	pzs14	file14	ДА	ДА	ДА
iit11	pzs14	file15	НЕТ	НЕТ	ДА
iit11	pzs14	file21	НЕТ	НЕТ	НЕТ
iit11	pzs14	file22	НЕТ	НЕТ	НЕТ
iit11	pzs14	file23	НЕТ	НЕТ	НЕТ
iit11	pzs14	file24	НЕТ	НЕТ	НЕТ
iit11	pzs14	file25	НЕТ	НЕТ	НЕТ
iit11	pzs14	file31	НЕТ	НЕТ	НЕТ
iit11	pzs14	file32	НЕТ	НЕТ	НЕТ
iit11	pzs14	file33	НЕТ	НЕТ	НЕТ
iit11	pzs14	file34	НЕТ	НЕТ	НЕТ
iit11	pzs14	file35	НЕТ	НЕТ	НЕТ
iit11	pzs14	file41	ДА	НЕТ	НЕТ
iit11	pzs14	file42	ДА	ДА	НЕТ
iit11	pzs14	file43	НЕТ	ДА	НЕТ
iit11	pzs14	file44	ДА	ДА	ДА
iit11	pzs14	file45	НЕТ	НЕТ	ДА
iit11	pzs14	file51	НЕТ	НЕТ	НЕТ
iit11	pzs14	file52	НЕТ	НЕТ	НЕТ
iit11	pzs14	file53	НЕТ	НЕТ	НЕТ
iit11	pzs14	file54	НЕТ	НЕТ	НЕТ
iit11	pzs14	file55	НЕТ	НЕТ	НЕТ
iit11	pzs15	file11	НЕТ	НЕТ	НЕТ
iit11	pzs15	file12	НЕТ	НЕТ	НЕТ
iit11	pzs15	file13	НЕТ	НЕТ	НЕТ
iit11	pzs15	file14	НЕТ	НЕТ	НЕТ
iit11	pzs15	file15	НЕТ	НЕТ	НЕТ
iit11	pzs15	file21	НЕТ	НЕТ	НЕТ
iit11	pzs15	file22	НЕТ	НЕТ	НЕТ
iit11	pzs15	file23	НЕТ	НЕТ	НЕТ
iit11	pzs15	file24	НЕТ	НЕТ	НЕТ
iit11	pzs15	file25	НЕТ	НЕТ	НЕТ
iit11	pzs15	file31	НЕТ	НЕТ	НЕТ
iit11	pzs15	file32	НЕТ	НЕТ	НЕТ
iit11	pzs15	file33	НЕТ	НЕТ	НЕТ
iit11	pzs15	file34	НЕТ	НЕТ	НЕТ
iit11	pzs15	file35	НЕТ	НЕТ	НЕТ
iit11	pzs15	file41	НЕТ	НЕТ	НЕТ
iit11	pzs15	file42	НЕТ	НЕТ	НЕТ
iit11	pzs15	file43	НЕТ	НЕТ	НЕТ
iit11	pzs15	file44	НЕТ	НЕТ	НЕТ
iit11	pzs15	file45	НЕТ	НЕТ	НЕТ
iit11	pzs15	file51	НЕТ	НЕТ	НЕТ
iit11	pzs15	file52	НЕТ	НЕТ	НЕТ
iit11	pzs15	file53	НЕТ	НЕТ	НЕТ
iit11	pzs15	file54	НЕТ	НЕТ	НЕТ
iit11	pzs15	file55	НЕТ	НЕТ	НЕТ
iit12	pzs11	file11	НЕТ	НЕТ	НЕТ
iit12	pzs11	file12	НЕТ	НЕТ	НЕТ
