file	starter	pid	killer	kill_ok
file15	iit11	19533	iit11	ДА
file15	iit11	19549	iit12	НЕТ
file15	iit11	19565	iit21	НЕТ
file15	iit11	19581	iit22	НЕТ
file15	iit11	19597	iit3	НЕТ
file15	iit11	19613	root	ДА
file25	iit11	19632	iit11	ДА
file25	iit11	19648	iit12	НЕТ
file25	iit11	19664	iit21	НЕТ
file25	iit11	19681	iit22	НЕТ
file25	iit11	19697	iit3	НЕТ
file25	iit11	19713	root	ДА
file35	iit11	19731	iit11	ДА
file35	iit11	19747	iit12	НЕТ
file35	iit11	19763	iit21	НЕТ
file35	iit11	19779	iit22	НЕТ
file35	iit11	19795	iit3	НЕТ
file35	iit11	19811	root	ДА
file45	iit11	19829	iit11	ДА
file45	iit11	19845	iit12	НЕТ
file45	iit11	19862	iit21	НЕТ
file45	iit11	19878	iit22	НЕТ
file45	iit11	19894	iit3	НЕТ
file45	iit11	19910	root	ДА
file55	iit11	19928	iit11	ДА
file55	iit11	19944	iit12	НЕТ
file55	iit11	19960	iit21	НЕТ
file55	iit11	19976	iit22	НЕТ
file55	iit11	19992	iit3	НЕТ
file55	iit11	20008	root	ДА
