user	operation	result	expected	pass
admin_user	SELECT	ДА	ДА	OK
admin_user	INSERT	ДА	ДА	OK
admin_user	UPDATE	ДА	ДА	OK
admin_user	DELETE	ДА	ДА	OK
admin_user	CREATE_TABLE	ДА	ДА	OK
admin_user	DROP_TABLE	ДА	ДА	OK
app_user	SELECT	ДА	ДА	OK
app_user	INSERT	ДА	ДА	OK
app_user	UPDATE	ДА	ДА	OK
app_user	DELETE	ДА	ДА	OK
app_user	CREATE_TABLE	НЕТ	НЕТ	OK
app_user	DROP_TABLE	НЕТ	НЕТ	OK
guest_user	SELECT	ДА	ДА	OK
guest_user	INSERT	НЕТ	НЕТ	OK
guest_user	UPDATE	НЕТ	НЕТ	OK
guest_user	DELETE	НЕТ	НЕТ	OK
guest_user	CREATE_TABLE	НЕТ	НЕТ	OK
guest_user	DROP_TABLE	НЕТ	НЕТ	OK
