         256835 function calls (256230 primitive calls) in 0.238 seconds

   Ordered by: cumulative time
   List reduced from 647 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.235    0.006 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/requests/api.py:24(request)
       40    0.000    0.000    0.231    0.006 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/requests/sessions.py:557(request)
    60/40    0.001    0.000    0.192    0.005 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/requests/sessions.py:752(send)
       20    0.000    0.000    0.170    0.008 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/requests/api.py:117(post)
       60    0.001    0.000    0.150    0.002 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/requests/adapters.py:634(send)
       60    0.001    0.000    0.123    0.002 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/urllib3/connectionpool.py:592(urlopen)
       60    0.001    0.000    0.118    0.002 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/urllib3/connectionpool.py:377(_make_request)
       60    0.001    0.000    0.100    0.002 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/urllib3/connection.py:540(getresponse)
       60    0.000    0.000    0.092    0.002 /usr/lib/python3.10/http/client.py:1351(getresponse)
       40    0.000    0.000    0.092    0.002 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/requests/sessions.py:805(<listcomp>)
    80/60    0.001    0.000    0.092    0.002 /home/ubuntuuser/Desktop/BSUIR_LABS/course-4-1/PZIIS_2/lab3/p1/app/.venv/lib/python3.10/site-packages/requests/sessions.py:186(resolve_redirects)
       60    0.001    0.000    0.090    0.002 /usr/lib/python3.10/http/client.py:316(begin)
       60    0.001    0.000    0.078    0.001 /usr/lib/python3.10/http/client.py:283(_read_status)
      119    0.000    0.000    0.078    0.001 /usr/lib/python3.10/socket.py:691(readinto)
      520    0.000    0.000    0.078    0.000 {method 'readline' of '_io.BufferedReader' objects}



